OperandA, OperandB, Result, Exception
          1,          0,          0,1
          0,          1,          0,0
          1,          2,          0,0
          2,         -4,          0,0
          2,          1,          2,0
         -4,          2,         -2,0
          8,          4,          2,0
         16,         -8,         -2,0
         32,         16,          2,0
        -64,         32,         -2,0
        128,         64,          2,0
        256,       -128,         -2,0
        512,        256,          2,0
      -1024,        512,         -2,0
       2048,       1024,          2,0
       4096,      -2048,         -2,0
       8192,       4096,          2,0
     -16384,       8192,         -2,0
      32768,      16384,          2,0
-2147483648,          2,-1073741824,0
